Cluster,Epic Title,Epic Body,Epic Labels,Task Section
6," Epic Issue: Software Project Management Improvement
"," This epic issue aims to address multiple software project management improvements identified through various issues. The improvements include enabling copy & paste in restricted editing mode, resolving conflicts with document lists plugin, enabling dropping between widgets, implementing scroll while dragging, preserving updated data during drag & drop, and ensuring test coverage for the experimental drag and drop feature. These improvements will enhance the overall usability, functionality, and stability of the software project management system.
"," ['type:epic', 'squad:core']","- [ ] [There should be an empty paragraph in the newly created editor](https://github.com/ckeditor/ckeditor5/issues/331)

- [ ] [Enable copy & paste in restricted editing mode](https://github.com/ckeditor/ckeditor5/issues/5802)

- [ ] [Document lists plugin not allow to-do lists?](https://github.com/ckeditor/ckeditor5/issues/11620)

- [ ] [Cannot drop between widgets](https://github.com/ckeditor/ckeditor5/issues/12894)

- [ ] [[Drag & drop] Scroll while dragging](https://github.com/ckeditor/ckeditor5/issues/14647)

- [ ] [[Drag & drop + RTC] Should we paste data that was updated while dragging?](https://github.com/ckeditor/ckeditor5/issues/14737)

- [ ] [[Drag and drop] Test coverage](https://github.com/ckeditor/ckeditor5/issues/14831)
"
1," Epic Issue: TypeScript Typings and List Styles Improvements

"," This epic issue aims to address two areas of improvement in the software project.

1. TypeScript Typings: The request for typings definition for ckeditor5 in TypeScript has been raised. The migration to TypeScript is already in progress, with an alpha release of version 37 including typings already out. The goal is to have official typings generated based on the JS files. The progress of the migration and updates on integration with Vue, React, and Angular can be followed in the issue: https://github.com/ckeditor/ckeditor5/issues/11704.

2. List Styles Improvement: There have been requests to improve the list styles feature. Currently, the options for list styles are limited. The proposed improvement includes supporting different styles for ordered lists, such as roman numerals or alphabetical order. It is suggested to implement a cycle through the styles on click of the icon, with an option for ""none"" style as well. The issue also discusses the missing semantic of order direction and the ""start"" attribute consideration. The issue can be found here: https://github.com/ckeditor/ckeditor5/issues/1028.

<TITLE> Epic Issue: TypeScript Typings and List Styles Improvements
", ['type:epic'],"- [ ] [Typings for TypeScript](https://github.com/ckeditor/ckeditor5/issues/504)

- [ ] [Feature Request: Cycle Through List Styles on Click](https://github.com/ckeditor/ckeditor5/issues/1028)

- [ ] [Implement list styles](https://github.com/ckeditor/ckeditor5/issues/1031)

- [ ] [Ensure that multi-range selections are handled in deleteContent(), insertContent() and modifySelection()](https://github.com/ckeditor/ckeditor5/issues/6328)

- [ ] [Add ""select entire column"" and ""select entire row"" options in the row/col dropdowns](https://github.com/ckeditor/ckeditor5/issues/6500)

- [ ] [[Experimental] Drag and Drop of blocks](https://github.com/ckeditor/ckeditor5/issues/14033)

- [ ] [Image size attributes after uploading image](https://github.com/ckeditor/ckeditor5/issues/14531)

- [ ] [[Drag & drop] Creation of subitems in the lists](https://github.com/ckeditor/ckeditor5/issues/14766)
"
23," Epic Issue: Table Feature Implementation
"," Implementing the table feature is a critical task that needs to be addressed promptly. This epic issue aims to provide a comprehensive solution and ensure the seamless integration of the table feature within the software. The exact details and requirements of the table feature are not yet available, but this epic will serve as a high-level roadmap and container for all related issues.
"," ['type:epic', 'domain:accessibility']","- [ ] [Table feature](https://github.com/ckeditor/ckeditor5/issues/610)
"
16," Styles Feature Epic Issue
"," This epic issue encompasses various issues related to the Styles feature in software project management. The issues include problems with the current user experience, such as confusion in the grid of styles, bloated lists of styles, and difficulties in navigating through them. Proposed solutions involve renaming elements, hiding or collapsing inactive styles, providing search functionality, and organizing styles as a tree. The aim of this epic issue is to improve the user experience and provide more efficient and effective solutions for managing styles in software projects.
"," ['type:epic', 'domain:ui/ux', 'status:discussion']","- [ ] [Style feature](https://github.com/ckeditor/ckeditor5/issues/648)

- [ ] [[Style dropdown] Confusing UX in the grid of styles](https://github.com/ckeditor/ckeditor5/issues/11579)
"
10, Epic: Improve CKEditor 5 Image Feature Compatibility ," This epic aims to improve the image feature in CKEditor 5 to be more compatible with CKEditor 4. The main focus is on supporting the height attribute for inline images. 

<TITLE> [Task] Preserve image height and width on content load "," ['type:task', 'package:core', 'domain:compatibility']

<TITLE> [Task] Set image height and width proactively ","- [ ] [[Proposal] Provide TS type checking based on JSDoc annotations](https://github.com/ckeditor/ckeditor5/issues/1415)

- [ ] [Add support for content drag&drop](https://github.com/ckeditor/ckeditor5/issues/2664)

- [ ] [Table mouse selection UI/UX](https://github.com/ckeditor/ckeditor5/issues/6114)

- [ ] [Table cell/row/column selection – stage II](https://github.com/ckeditor/ckeditor5/issues/6285)

- [ ] [[Table] Crash when undoing row insertion and adding cell properties](https://github.com/ckeditor/ckeditor5/issues/6382)

- [ ] [[Table] Crash when removing row after horizontal split](https://github.com/ckeditor/ckeditor5/issues/6401)

- [ ] [Multiselection breaks in tables while holding Shift key](https://github.com/ckeditor/ckeditor5/issues/6453)

- [ ] [Research feasibility of Command#affectsContent](https://github.com/ckeditor/ckeditor5/issues/10493)

- [ ] [Make existing dropdowns initialize their panel content on first open](https://github.com/ckeditor/ckeditor5/issues/12890)

- [ ] [🖼️  Supporting image height attribute](https://github.com/ckeditor/ckeditor5/issues/14146)
"
21, Software Project Management Epic: Improve Software Modularity and Dependencies ," This epic aims to improve the modularity and dependencies of the software project by addressing several specific issues. By resolving these issues, we can enhance the overall architecture and maintainability of the software. The issues to be addressed in this epic include:

1. Conversion from simple model to complex view (slot conversion)

2. Problems with the <table> abstraction in the model

3. Use format* beforeInput types across the features

4. Research how to make import and re-export cleaner

5. Move EditorUI to ckeditor5-ui

This epic will involve analyzing the current state of the software, making necessary code changes, updating documentation, and providing migration guides. The goal is to create a more modular and maintainable software project.

"," ['type:epic', 'status:open', 'squad:core']","- [ ] [Conversion from simple model to complex view (slot conversion)](https://github.com/ckeditor/ckeditor5/issues/1589)

- [ ] [Problems with the <table> abstraction in the model](https://github.com/ckeditor/ckeditor5/issues/6506)

- [ ] [Use format* beforeInput types across the features](https://github.com/ckeditor/ckeditor5/issues/8000)

- [ ] [[TS] Research how to make import and re-export cleaner](https://github.com/ckeditor/ckeditor5/issues/12720)

- [ ] [Move EditorUI to ckeditor5-ui](https://github.com/ckeditor/ckeditor5/issues/12853)
"
22," Epic Issue: Improve CKEditor5 Navigation, Table Selection, UI Performance, and Bug Fixes
"," This epic issue aims to address multiple improvements and bug fixes for CKEditor5. It includes the following tasks:

1. Implement a custom navigation through tables:
    - Improve the navigation experience for tables by designing and implementing a custom solution.
    - Labels: ['type:improvement', 'type:feature', 'package:table']
    - Issue Number: 3267

2. Validate table selection POC approach:
    - Finish the basic table selection concept and plugin.
    - Create an integration branch for the feature (with the possibility of merging to `master`).
    - Integrate the engine part if it does not cause any issues.
    - Labels: ['type:task', 'package:engine', 'package:table']
    - Issue Number: 6113

3. Deploy monorepo changes:
    - Final step in the migration process, ensuring all work is deployed correctly.
    - Verify the changes on a clone of the ckeditor5 repository.
    - Create deployment instructions to be followed.
    - Labels: ['type:task']
    - Issue Number: 6534

4. Test and stabilize composition (IME) using beforeInput on Android:
    - Test composition using the default Android web browser and popular keyboards.
    - Ensure stability and functionality for IME (input method editor).
    - Labels: ['resolution:duplicate', 'type:task', 'package:typing', 'domain:ui/ux', 'domain:typing/ime', 'domain:mobile', 'squad:core']
    - Issue Number: 8011

5. Test and stabilize composition (IME) using beforeInput on iOS:
    - Test composition using the default keyboard and mobile Safari scenario on iOS.
    - Confirm stability and functionality for IME.
    - Labels: ['resolution:duplicate', 'type:task', 'package:typing', 'domain:ui/ux', 'domain:typing/ime', 'domain:mobile', 'squad:core']
    - Issue Number: 8012

6. [Conversion] Write down a summary of changes:
    - Summarize the changes introduced in issue #10294, focusing on the ""whys"" and ""whats"".
    - Create a developer-oriented blog post-like summary.
    - Compile smaller thoughts into topics and limit the content to what matters most.
    - Labels: ['type:task', 'type:docs', 'package:engine', 'squad:core', 'release:blocker']
    - Issue Number: 11268

7. [Style dropdown] Refactor the command:
    - Clean up after the rapid development of the style dropdown feature.
    - Allocate ~20% of the time to improve the test suite for the feature.
    - Labels: ['type:task', 'squad:core', 'package:style']
    - Issue Number: 11607

8. [UI initialization performance] Research how the UI is initialized:
    - Investigate the initialization flow of the UI and identify time-consuming steps.
    - Address performance issues related to UI initialization.
    - Part of issue #12592.
    - Labels: ['package:ui', 'type:performance', 'squad:core']
    - Issue Number: 12682

9. Drag by balloon block toolbar improvements:
    - Enhance the logic and implementation of the drag behavior by balloon block toolbar introduced in issue #13933.
    - Improve the element checking range for better integration compatibility.
    - Labels: ['type:improvement', 'package:clipboard', 'squad:core']
    - Issue Number: 15058

10. Replace the existing stale bot with the new one:
    - Replace the existing stale bot with a new one.
    - Create a daily task on CI for the new bot.
    - Part of ckeditor/ckeditor5#15399.
    - Labels: ['type:task', 'squad:devops', 'package:dev']
    - Issue Number: 15403
    
",": Epic, Improvement, Bug Fix, Performance, Navigation, Table, UI, Testing, Documentation, Integration, Mobile, Typing, Conversion, Style, DevOps.
","- [ ] [Implement a custom navigation through tables](https://github.com/ckeditor/ckeditor5/issues/3267)

- [ ] [Validate table selection POC approach.](https://github.com/ckeditor/ckeditor5/issues/6113)

- [ ] [Deploy monorepo changes](https://github.com/ckeditor/ckeditor5/issues/6534)

- [ ] [Test and stabilize composition (IME) using beforeInput on Android](https://github.com/ckeditor/ckeditor5/issues/8011)

- [ ] [Test and stabilize composition (IME) using beforeInput on iOS](https://github.com/ckeditor/ckeditor5/issues/8012)

- [ ] [[Conversion] Write down a summary of changes](https://github.com/ckeditor/ckeditor5/issues/11268)

- [ ] [[Style dropdown] Refactor the command](https://github.com/ckeditor/ckeditor5/issues/11607)

- [ ] [[UI initialization performance] Research how the UI is initialized (the flow) and which steps take significant amount of time](https://github.com/ckeditor/ckeditor5/issues/12682)

- [ ] [Drag by balloon block toolbar improvements](https://github.com/ckeditor/ckeditor5/issues/15058)

- [ ] [Replace the existing stale bot with the new one](https://github.com/ckeditor/ckeditor5/issues/15403)
"
24," Epic Issue: Alignment Dropdown and Table Selection Improvements
"," This epic issue aims to address several issues related to the alignment dropdown and table selection in CKEditor.
"," ['type:epic', 'squad:core']","- [ ] [The alignment dropdown has unnecessary scrollbars](https://github.com/ckeditor/ckeditor5/issues/3416)

- [ ] [Multiple cell selection does not get along with enter](https://github.com/ckeditor/ckeditor5/issues/6301)

- [ ] [Table Shift+Click selection UX](https://github.com/ckeditor/ckeditor5/issues/6330)

- [ ] [Multiple cell selection should not fail when mouse is over a widget](https://github.com/ckeditor/ckeditor5/issues/6348)

- [ ] [Table MouseSelectionHandler should reset its #isSelecting flag on mouseup](https://github.com/ckeditor/ckeditor5/issues/6353)

- [ ] [The live preview of the table cell background should work with multiple-cell selection](https://github.com/ckeditor/ckeditor5/issues/6446)

- [ ] [[TS] Add editingDowncast and dataDowncast in conversion.for](https://github.com/ckeditor/ckeditor5/issues/13750)

- [ ] [[Drag & drop, intro] Blockquote formatting is lost](https://github.com/ckeditor/ckeditor5/issues/14640)

- [ ] [[Drag & drop] Can't place the content in the code block](https://github.com/ckeditor/ckeditor5/issues/14641)

- [ ] [[Drag & drop, intro] Can't take out the text out of the image/table caption](https://github.com/ckeditor/ckeditor5/issues/14643)

- [ ] [[Drag & drop] Hide contextual balloon toolbar while dragging](https://github.com/ckeditor/ckeditor5/issues/14711)

- [ ] [[Drag & drop + Balloon block, intro] Select the blocks when dragging with the drag handle](https://github.com/ckeditor/ckeditor5/issues/14712)

- [ ] [[Drag & drop + Balloon block]  Misplaced toolbar after movement](https://github.com/ckeditor/ckeditor5/issues/14735)

- [ ] [[Drag & Drop] Preview logic requires tweaking.  ](https://github.com/ckeditor/ckeditor5/issues/14968)
"
9," Epic Issue: Enhancements and Fixes for CKEditor 5

"," This epic issue aims to address several enhancements and fixes for CKEditor 5. It includes the following tasks:

- Merge CKEditor 5 subrepositories to the main repository
- Adjust the CI to work with monorepo
- Style command should check if the classes overlap with other active styles while removing
- Merge the ""number"" type into PriorityString
- Add linter rules for enforcing imports of module augmentation and no explicit return type
- Allow and preserve image width and height attributes
- On image upload set the width and height attributes
- Research setting aspect-ratio
- Document list feature parity
- Document lists should have a ""simple list"" config option
- Depreciate Old List Plugins in Favor of DocumentList Equivalents

These tasks address various feature requests, bug fixes, and improvements to enhance the user experience and functionality of CKEditor 5.

"," ['type:epic', 'squad:core']","- [ ] [Setting image height and width](https://github.com/ckeditor/ckeditor5/issues/5154)

- [ ] [Merge CKEditor 5 subrepositories to the main repository](https://github.com/ckeditor/ckeditor5/issues/6476)

- [ ] [Adjust the CI to work with monorepo](https://github.com/ckeditor/ckeditor5/issues/6477)

- [ ] [Style command should check if the classes overlap with other active styles while removing](https://github.com/ckeditor/ckeditor5/issues/11748)

- [ ] [[TS] Merge the ""number"" type into PriorityString](https://github.com/ckeditor/ckeditor5/issues/12218)

- [ ] [[TS] Add linter rules for enforcing imports of module augmentation and no explicit return type](https://github.com/ckeditor/ckeditor5/issues/13434)

- [ ] [Allow and preserve image width and height attributes](https://github.com/ckeditor/ckeditor5/issues/14201)

- [ ] [On image upload set the `width` and `height` attributes](https://github.com/ckeditor/ckeditor5/issues/14202)

- [ ] [Research setting aspect-ratio](https://github.com/ckeditor/ckeditor5/issues/14366)

- [ ] [Document list feature parity](https://github.com/ckeditor/ckeditor5/issues/14632)

- [ ] [Document lists should have a “simple list” config option](https://github.com/ckeditor/ckeditor5/issues/14634)

- [ ] [Depreciate Old `List` Plugins in Favor of `DocumentList` Equivalents](https://github.com/ckeditor/ckeditor5/issues/14942)
"
13," Epic Issue: Software Project Management
"," This epic issue encompasses multiple issues related to software project management. The issues listed below cover various aspects of software project management, including feature implementation, bug fixes, and improvements. By addressing these issues, we aim to enhance the overall management of software projects.

<ISSUE_NUMBER> : 5804
<ISSUE_NUMBER> : 6406
<ISSUE_NUMBER> : 6521
<ISSUE_NUMBER> : 6631
<ISSUE_NUMBER> : 7995
<ISSUE_NUMBER> : 10014
<ISSUE_NUMBER> : 10838
<ISSUE_NUMBER> : 11591
<ISSUE_NUMBER> : 12058
<ISSUE_NUMBER> : 12466
<ISSUE_NUMBER> : 14216
<ISSUE_NUMBER> : 14372
<ISSUE_NUMBER> : 14739
<ISSUE_NUMBER> : 14950
<ISSUE_NUMBER> : 14969

"," : ['type:epic', 'squad:core']","- [ ] [Placeholders for non-restricted areas in restricted editing mode](https://github.com/ckeditor/ckeditor5/issues/5804)

- [ ] [Removing complex colspan/rowspan multi-cell selections column/rows should be improved](https://github.com/ckeditor/ckeditor5/issues/6406)

- [ ] [Merge cells command should not merge cells from column header with other cells](https://github.com/ckeditor/ckeditor5/issues/6521)

- [ ] [The arrow next to the ""merge cells"" button seems to be disabled](https://github.com/ckeditor/ckeditor5/issues/6631)

- [ ] [Implement the beforeInput support detection](https://github.com/ckeditor/ckeditor5/issues/7995)

- [ ] [The find and replace view does not indicate that no matches were found](https://github.com/ckeditor/ckeditor5/issues/10014)

- [ ] [Editor doesn't preserve image size when pasting resized images from Google Docs](https://github.com/ckeditor/ckeditor5/issues/10838)

- [ ] [[Style dropdown] Inline styles retained when changing heading, inserting codeblock](https://github.com/ckeditor/ckeditor5/issues/11591)

- [ ] [[beforeInput] Bring back basic typing support in Android](https://github.com/ckeditor/ckeditor5/issues/12058)

- [ ] [Nested lists pasted from Word don't display properly while using Document lists and Indent block](https://github.com/ckeditor/ckeditor5/issues/12466)

- [ ] [[GHS/Style] List styles preserves itself and spreads to other list types and blocks.](https://github.com/ckeditor/ckeditor5/issues/14216)

- [ ] [[Style] Style dropdown should insert (some) elements.](https://github.com/ckeditor/ckeditor5/issues/14372)

- [ ] [[Drag & drop] Preview quirks](https://github.com/ckeditor/ckeditor5/issues/14739)

- [ ] [In Drag and Drop not able to drop entire paragraph to caption](https://github.com/ckeditor/ckeditor5/issues/14950)

- [ ] [[Drag & drop] Handle of list item's selection and dropping (document lists)](https://github.com/ckeditor/ckeditor5/issues/14969)
"
