Repo Name,Star Count,Epic Issue Count,Total Issue Count,Fork Count,Watcher Count,Created At,Updated At,Primary Language
va.gov-team,261,1591,68116,192,169,2018-05-17T16:50:38Z,2023-11-26T17:35:21Z,HTML
wollok-ts,14,1,83,11,26,2018-08-30T21:17:50Z,2023-11-19T11:54:43Z,TypeScript
nuguri-msa,0,5,44,0,0,2022-12-13T05:44:01Z,2023-11-09T06:48:21Z,Java
project,0,40,352,0,14,2023-05-19T11:45:35Z,2023-11-09T12:11:49Z,
uW-Tools-Collab,0,2,15,0,3,2023-07-21T17:51:46Z,2023-07-21T17:51:46Z,
neeto-ui-challange,0,1,11,0,0,2023-11-25T05:24:39Z,2023-11-26T07:07:48Z,JavaScript
bc-wallet-mobile,43,49,1208,37,10,2021-11-19T22:25:50Z,2023-11-10T03:44:57Z,TypeScript
shlink,2346,1,1066,202,23,2016-04-08T18:44:25Z,2023-11-27T19:18:55Z,PHP
dokka,3095,5,1810,402,63,2014-07-12T09:15:22Z,2023-11-25T04:18:47Z,Kotlin
personal,0,8,10,0,1,2023-11-26T20:36:51Z,2023-11-26T20:36:52Z,
polygon-dash,0,1,16,3,1,2023-06-22T10:57:04Z,2023-08-03T17:27:34Z,Python
vein,35,17,129,5,4,2020-02-10T18:54:20Z,2023-11-01T02:06:08Z,C#
editor_app_books,0,2,30,0,1,2023-07-11T16:19:52Z,2023-08-07T18:38:55Z,Ruby
Obsidian-ZettelFlow,39,3,42,0,3,2023-07-30T16:31:05Z,2023-11-26T23:09:13Z,TypeScript
iron,154,8,119,23,7,2023-02-11T19:22:24Z,2023-11-27T16:10:46Z,Rust
BlazorForms,2,2,44,0,1,2023-01-26T14:12:48Z,2023-11-23T08:32:34Z,C#
va-mobile-app,8,126,4445,0,7,2020-09-01T16:38:50Z,2023-11-24T16:08:45Z,TypeScript
CSWebApp,0,1,4,0,1,2023-05-03T14:38:16Z,2023-10-30T17:34:07Z,TypeScript
Abmarl,43,12,269,15,7,2020-11-04T23:13:34Z,2023-11-15T20:53:42Z,Python
baccarat-game-service,0,1,6,0,1,2023-11-20T06:08:44Z,2023-11-20T06:08:45Z,
trade-executor,66,4,279,22,4,2022-01-22T10:09:35Z,2023-11-27T15:16:01Z,Jupyter Notebook
bqm3yr-thesis,0,0,5,0,1,2023-11-18T12:08:51Z,2023-11-18T12:11:43Z,Java
besu,1319,23,2235,685,58,2019-09-04T21:11:20Z,2023-11-24T17:22:23Z,Java
gwells,26,3,131,35,12,2017-02-28T17:22:23Z,2023-08-28T11:45:07Z,Python
cmo-pipelines,3,8,123,8,9,2016-03-09T17:20:27Z,2023-01-31T16:42:05Z,Java
OpenCore,1,9,70,0,2,2018-10-16T22:12:56Z,2021-09-04T14:48:44Z,C#
Project_4,0,0,23,0,1,2023-11-04T12:00:57Z,2023-11-04T20:32:12Z,JavaScript
auth,0,2,7,1,4,2023-10-31T22:00:04Z,2023-11-06T19:17:16Z,TypeScript
kubermatic,990,93,4144,150,22,2016-01-30T17:05:09Z,2023-11-24T19:20:18Z,Go
ons-faster-economic-indicators,1,0,38,4,2,2022-07-04T17:02:15Z,2023-01-31T20:01:31Z,
critical-mass,2,3,19,0,2,2023-07-23T11:03:53Z,2023-08-26T19:18:29Z,JavaScript
nrrd,11,1,2232,5,13,2019-10-16T15:45:35Z,2023-07-11T15:26:38Z,JavaScript
ramp4-pcar4,11,1,999,20,11,2019-10-29T18:29:24Z,2023-11-25T18:32:32Z,TypeScript
bpdm,5,6,252,6,6,2022-08-19T13:35:56Z,2023-11-13T18:59:53Z,Kotlin
soca,10,7,416,2,38,2018-03-26T19:17:21Z,2023-11-16T16:12:25Z,Fortran
SIMS,15,39,1321,14,5,2020-12-07T19:59:07Z,2023-11-17T22:32:26Z,TypeScript
DPRB-Asiakasprojekti,0,1,46,0,1,2023-06-21T21:26:34Z,2023-10-31T00:15:55Z,ShaderLab
Wednesday-Fall2023-Team-5,0,10,76,1,4,2023-09-13T16:11:47Z,2023-11-01T22:34:57Z,JavaScript
imagelab,6,5,73,83,4,2019-10-07T19:33:35Z,2023-11-06T18:06:10Z,Java
cc,0,1,1,0,1,2023-02-25T22:00:08Z,2023-08-24T19:34:44Z,TypeScript
cas-registration,0,13,240,0,5,2023-08-08T23:17:59Z,2023-11-16T00:54:46Z,TypeScript
CellSimulator,0,3,13,0,1,2023-11-18T16:58:55Z,2023-11-18T17:04:57Z,
MAAP,0,28,618,0,5,2021-08-19T18:55:49Z,2021-09-02T21:18:47Z,
shesha-framework,5,1,131,9,0,2023-02-08T08:36:07Z,2023-11-24T02:37:10Z,C#
bookie-frontend,0,5,55,0,0,2023-11-06T17:48:41Z,2023-11-13T20:08:49Z,HTML
nginx-gateway-fabric,280,19,358,55,14,2021-10-22T17:59:15Z,2023-11-27T07:02:04Z,Go
cas-tools,0,2,3,0,5,2023-10-31T13:46:35Z,2023-11-20T09:46:26Z,
gocast_mobile,8,5,55,0,5,2023-11-15T21:08:14Z,2023-11-26T12:58:08Z,Ruby
operations-engineering,4,13,2972,5,88,2019-11-22T10:58:12Z,2023-11-02T00:28:26Z,Python
helm,4,1,35,10,4,2022-01-19T09:33:15Z,2023-07-07T13:50:43Z,JavaScript
TopoStats,47,2,366,10,8,2019-01-29T15:00:56Z,2023-11-25T06:45:23Z,Python
DroneWorld,2,5,36,0,1,2023-09-05T18:41:48Z,2023-11-06T17:58:02Z,Python
Kokkies,1,3,3,0,3,2023-11-17T14:56:31Z,2023-11-19T23:06:56Z,C#
bos-web-engine,13,22,83,1,5,2023-07-17T18:03:52Z,2023-11-25T01:23:20Z,TypeScript
GreenCity,57,18,5351,79,28,2019-08-05T09:01:48Z,2023-10-31T15:15:58Z,Java
liberty-tools-intellij,8,5,285,17,10,2020-07-16T20:36:50Z,2023-11-23T18:53:10Z,Java
paragon,108,6,509,58,78,2017-04-27T18:57:22Z,2023-11-24T08:55:23Z,JavaScript
github-fundamentals,0,1,7,0,1,2023-11-27T08:50:20Z,2023-11-27T14:20:49Z,
AdvertiseSphere-FrontEnd,0,0,9,0,0,2023-11-16T14:56:12Z,2023-11-18T19:13:28Z,JavaScript
skkg-pipeline,1,1,25,0,2,2023-06-02T09:54:28Z,2023-11-24T17:17:19Z,Jupyter Notebook
landlab,324,2,752,313,30,2014-05-09T04:52:50Z,2023-11-17T01:30:40Z,Python
triangle,0,1,8,0,1,2023-11-25T14:27:42Z,2023-11-27T15:24:35Z,TypeScript
zebra,377,2,2052,78,23,2019-08-29T21:48:14Z,2023-11-17T22:34:53Z,Rust
data-upload-manager,0,3,28,0,10,2023-02-08T22:42:39Z,2023-07-21T14:33:08Z,Python
skosprovider_getty,5,1,47,0,17,2014-09-03T08:31:14Z,2023-03-31T05:11:51Z,Python
